dataset,k,algorithm,rep,peak_heap_mb,frontier_kind
chess,10,V1_BFS_Full,0,9.91,priority_queue
chess,10,V1_BFS_Full,1,8.81,priority_queue
chess,10,V1_BFS_Full,2,8.61,priority_queue
chess,10,V2_DFS_Full,0,10.01,stack
chess,10,V2_DFS_Full,1,10.19,stack
chess,10,V2_DFS_Full,2,9.61,stack
chess,10,V3_BFS_P123,0,10.42,priority_queue
chess,10,V3_BFS_P123,1,9.70,priority_queue
chess,10,V3_BFS_P123,2,9.57,priority_queue
chess,10,V4_DFS_P123,0,9.97,stack
chess,10,V4_DFS_P123,1,10.00,stack
chess,10,V4_DFS_P123,2,9.96,stack
chess,20,V1_BFS_Full,0,19.61,priority_queue
chess,20,V1_BFS_Full,1,20.97,priority_queue
chess,20,V1_BFS_Full,2,24.43,priority_queue
chess,20,V2_DFS_Full,0,24.08,stack
chess,20,V2_DFS_Full,1,22.74,stack
chess,20,V2_DFS_Full,2,24.05,stack
chess,20,V3_BFS_P123,0,22.81,priority_queue
chess,20,V3_BFS_P123,1,23.71,priority_queue
chess,20,V3_BFS_P123,2,27.75,priority_queue
chess,20,V4_DFS_P123,0,24.73,stack
chess,20,V4_DFS_P123,1,24.80,stack
chess,20,V4_DFS_P123,2,24.53,stack
chess,30,V1_BFS_Full,0,41.92,priority_queue
chess,30,V1_BFS_Full,1,39.16,priority_queue
chess,30,V1_BFS_Full,2,40.31,priority_queue
chess,30,V2_DFS_Full,0,56.46,stack
chess,30,V2_DFS_Full,1,59.73,stack
chess,30,V2_DFS_Full,2,61.68,stack
chess,30,V3_BFS_P123,0,50.26,priority_queue
chess,30,V3_BFS_P123,1,42.24,priority_queue
chess,30,V3_BFS_P123,2,46.43,priority_queue
chess,30,V4_DFS_P123,0,59.19,stack
chess,30,V4_DFS_P123,1,61.91,stack
chess,30,V4_DFS_P123,2,62.40,stack
chess,40,V1_BFS_Full,0,60.82,priority_queue
chess,40,V1_BFS_Full,1,63.45,priority_queue
chess,40,V1_BFS_Full,2,74.60,priority_queue
chess,40,V2_DFS_Full,0,103.20,stack
chess,40,V2_DFS_Full,1,99.92,stack
chess,40,V2_DFS_Full,2,101.64,stack
chess,40,V3_BFS_P123,0,74.80,priority_queue
chess,40,V3_BFS_P123,1,72.83,priority_queue
chess,40,V3_BFS_P123,2,72.79,priority_queue
chess,40,V4_DFS_P123,0,107.01,stack
chess,40,V4_DFS_P123,1,101.48,stack
chess,40,V4_DFS_P123,2,107.25,stack
chess,50,V1_BFS_Full,0,89.38,priority_queue
chess,50,V1_BFS_Full,1,82.56,priority_queue
chess,50,V1_BFS_Full,2,80.57,priority_queue
chess,50,V2_DFS_Full,0,153.11,stack
chess,50,V2_DFS_Full,1,159.97,stack
chess,50,V2_DFS_Full,2,151.87,stack
chess,50,V3_BFS_P123,0,103.57,priority_queue
chess,50,V3_BFS_P123,1,101.72,priority_queue
chess,50,V3_BFS_P123,2,97.13,priority_queue
chess,50,V4_DFS_P123,0,162.86,stack
chess,50,V4_DFS_P123,1,160.00,stack
chess,50,V4_DFS_P123,2,170.48,stack
