dataset,k,algorithm,rep,peak_heap_mb,frontier_kind
liquor_11frequent,600,V1_BFS_Full,0,246.70,priority_queue
liquor_11frequent,600,V1_BFS_Full,1,246.45,priority_queue
liquor_11frequent,600,V1_BFS_Full,2,241.46,priority_queue
liquor_11frequent,600,V2_DFS_Full,0,247.16,stack
liquor_11frequent,600,V2_DFS_Full,1,269.57,stack
liquor_11frequent,600,V2_DFS_Full,2,323.99,stack
liquor_11frequent,600,V3_BFS_P123,0,253.77,priority_queue
liquor_11frequent,600,V3_BFS_P123,1,311.96,priority_queue
liquor_11frequent,600,V3_BFS_P123,2,260.21,priority_queue
liquor_11frequent,600,V4_DFS_P123,0,254.53,stack
liquor_11frequent,600,V4_DFS_P123,1,290.37,stack
liquor_11frequent,600,V4_DFS_P123,2,275.90,stack
liquor_11frequent,700,V1_BFS_Full,0,274.08,priority_queue
liquor_11frequent,700,V1_BFS_Full,1,335.04,priority_queue
liquor_11frequent,700,V1_BFS_Full,2,309.79,priority_queue
liquor_11frequent,700,V2_DFS_Full,0,297.23,stack
liquor_11frequent,700,V2_DFS_Full,1,352.85,stack
liquor_11frequent,700,V2_DFS_Full,2,334.56,stack
liquor_11frequent,700,V3_BFS_P123,0,326.68,priority_queue
liquor_11frequent,700,V3_BFS_P123,1,313.17,priority_queue
liquor_11frequent,700,V3_BFS_P123,2,303.26,priority_queue
liquor_11frequent,700,V4_DFS_P123,0,361.77,stack
liquor_11frequent,700,V4_DFS_P123,1,328.18,stack
liquor_11frequent,700,V4_DFS_P123,2,329.66,stack
liquor_11frequent,800,V1_BFS_Full,0,402.28,priority_queue
liquor_11frequent,800,V1_BFS_Full,1,408.54,priority_queue
liquor_11frequent,800,V1_BFS_Full,2,394.26,priority_queue
liquor_11frequent,800,V2_DFS_Full,0,422.76,stack
liquor_11frequent,800,V2_DFS_Full,1,437.90,stack
liquor_11frequent,800,V2_DFS_Full,2,442.95,stack
liquor_11frequent,800,V3_BFS_P123,0,415.10,priority_queue
liquor_11frequent,800,V3_BFS_P123,1,464.77,priority_queue
liquor_11frequent,800,V3_BFS_P123,2,432.23,priority_queue
liquor_11frequent,800,V4_DFS_P123,0,434.58,stack
liquor_11frequent,800,V4_DFS_P123,1,417.05,stack
liquor_11frequent,800,V4_DFS_P123,2,436.13,stack
liquor_11frequent,900,V1_BFS_Full,0,555.99,priority_queue
liquor_11frequent,900,V1_BFS_Full,1,512.56,priority_queue
liquor_11frequent,900,V1_BFS_Full,2,516.20,priority_queue
liquor_11frequent,900,V2_DFS_Full,0,617.77,stack
liquor_11frequent,900,V2_DFS_Full,1,598.76,stack
liquor_11frequent,900,V2_DFS_Full,2,634.59,stack
liquor_11frequent,900,V3_BFS_P123,0,559.49,priority_queue
liquor_11frequent,900,V3_BFS_P123,1,573.14,priority_queue
liquor_11frequent,900,V3_BFS_P123,2,625.91,priority_queue
liquor_11frequent,900,V4_DFS_P123,0,622.85,stack
liquor_11frequent,900,V4_DFS_P123,1,562.68,stack
liquor_11frequent,900,V4_DFS_P123,2,603.79,stack
liquor_11frequent,1000,V1_BFS_Full,0,563.05,priority_queue
liquor_11frequent,1000,V1_BFS_Full,1,633.89,priority_queue
liquor_11frequent,1000,V1_BFS_Full,2,626.14,priority_queue
liquor_11frequent,1000,V2_DFS_Full,0,619.74,stack
liquor_11frequent,1000,V2_DFS_Full,1,692.11,stack
liquor_11frequent,1000,V2_DFS_Full,2,653.98,stack
liquor_11frequent,1000,V3_BFS_P123,0,596.21,priority_queue
liquor_11frequent,1000,V3_BFS_P123,1,623.80,priority_queue
liquor_11frequent,1000,V3_BFS_P123,2,588.56,priority_queue
liquor_11frequent,1000,V4_DFS_P123,0,629.83,stack
liquor_11frequent,1000,V4_DFS_P123,1,600.72,stack
liquor_11frequent,1000,V4_DFS_P123,2,655.37,stack
