dataset,k,algorithm,rep,peak_heap_mb,frontier_kind
mushrooms,30,V1_BFS_Full,0,46.31,priority_queue
mushrooms,30,V1_BFS_Full,1,48.12,priority_queue
mushrooms,30,V1_BFS_Full,2,47.36,priority_queue
mushrooms,30,V2_DFS_Full,0,50.49,stack
mushrooms,30,V2_DFS_Full,1,47.17,stack
mushrooms,30,V2_DFS_Full,2,49.55,stack
mushrooms,30,V3_BFS_P123,0,61.85,priority_queue
mushrooms,30,V3_BFS_P123,1,60.82,priority_queue
mushrooms,30,V3_BFS_P123,2,61.17,priority_queue
mushrooms,30,V4_DFS_P123,0,58.23,stack
mushrooms,30,V4_DFS_P123,1,56.79,stack
mushrooms,30,V4_DFS_P123,2,55.10,stack
mushrooms,40,V1_BFS_Full,0,72.89,priority_queue
mushrooms,40,V1_BFS_Full,1,66.88,priority_queue
mushrooms,40,V1_BFS_Full,2,71.53,priority_queue
mushrooms,40,V2_DFS_Full,0,80.06,stack
mushrooms,40,V2_DFS_Full,1,79.25,stack
mushrooms,40,V2_DFS_Full,2,73.16,stack
mushrooms,40,V3_BFS_P123,0,88.61,priority_queue
mushrooms,40,V3_BFS_P123,1,91.60,priority_queue
mushrooms,40,V3_BFS_P123,2,88.89,priority_queue
mushrooms,40,V4_DFS_P123,0,86.56,stack
mushrooms,40,V4_DFS_P123,1,86.63,stack
mushrooms,40,V4_DFS_P123,2,81.25,stack
mushrooms,50,V1_BFS_Full,0,91.55,priority_queue
mushrooms,50,V1_BFS_Full,1,88.40,priority_queue
mushrooms,50,V1_BFS_Full,2,92.59,priority_queue
mushrooms,50,V2_DFS_Full,0,116.70,stack
mushrooms,50,V2_DFS_Full,1,109.55,stack
mushrooms,50,V2_DFS_Full,2,113.62,stack
mushrooms,50,V3_BFS_P123,0,118.96,priority_queue
mushrooms,50,V3_BFS_P123,1,116.28,priority_queue
mushrooms,50,V3_BFS_P123,2,121.63,priority_queue
mushrooms,50,V4_DFS_P123,0,117.61,stack
mushrooms,50,V4_DFS_P123,1,124.00,stack
mushrooms,50,V4_DFS_P123,2,126.35,stack
mushrooms,60,V1_BFS_Full,0,110.30,priority_queue
mushrooms,60,V1_BFS_Full,1,116.61,priority_queue
mushrooms,60,V1_BFS_Full,2,115.55,priority_queue
mushrooms,60,V2_DFS_Full,0,148.03,stack
mushrooms,60,V2_DFS_Full,1,145.37,stack
mushrooms,60,V2_DFS_Full,2,142.42,stack
mushrooms,60,V3_BFS_P123,0,138.87,priority_queue
mushrooms,60,V3_BFS_P123,1,147.95,priority_queue
mushrooms,60,V3_BFS_P123,2,138.13,priority_queue
mushrooms,60,V4_DFS_P123,0,156.95,stack
mushrooms,60,V4_DFS_P123,1,153.67,stack
mushrooms,60,V4_DFS_P123,2,165.09,stack
mushrooms,70,V1_BFS_Full,0,135.24,priority_queue
mushrooms,70,V1_BFS_Full,1,127.78,priority_queue
mushrooms,70,V1_BFS_Full,2,131.77,priority_queue
mushrooms,70,V2_DFS_Full,0,185.85,stack
mushrooms,70,V2_DFS_Full,1,194.52,stack
mushrooms,70,V2_DFS_Full,2,186.73,stack
mushrooms,70,V3_BFS_P123,0,167.36,priority_queue
mushrooms,70,V3_BFS_P123,1,165.87,priority_queue
mushrooms,70,V3_BFS_P123,2,167.04,priority_queue
mushrooms,70,V4_DFS_P123,0,208.28,stack
mushrooms,70,V4_DFS_P123,1,199.07,stack
mushrooms,70,V4_DFS_P123,2,195.86,stack
